"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Inheritance Metric Rules","Java Logging Rules","Migration Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L2299","DeleteresourcerestparameterHandler","eu.fp7.scase.wsat.restparameter.DeleteresourcerestparameterHandler","L2284","L103","C:\Users\michalis\Desktop\thesisResults\WSAT_java\DeleteresourcerestparameterHandler.java",34,1,105,2,0.430508,4,11,4,0.569444,0.58,41,29,1,2,2,8,4,1,1,8,12,0.6,0.166667,10,3,3,2,0.166667,10,0,0,0,0,0,50,72,5,0,5,0,4,0,4,0,4,26,0,4,0,50,72,5,0,5,0,4,0,4,0,4,26,0,4,0,0,0,28,0,0,0,0,0,19,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"L2331","DeleterestmethodrestparameterHandler","eu.fp7.scase.wsat.restparameter.DeleterestmethodrestparameterHandler","L2284","L103","C:\Users\michalis\Desktop\thesisResults\WSAT_java\DeleterestmethodrestparameterHandler.java",34,1,105,2,0.430508,4,11,4,0.569444,0.58,41,29,1,2,2,8,4,1,1,8,12,0.6,0.166667,10,3,3,2,0.166667,10,0,0,0,0,0,50,72,5,0,5,0,4,0,4,0,4,26,0,4,0,50,72,5,0,5,0,4,0,4,0,4,26,0,4,0,0,0,28,0,0,0,0,0,19,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"L2355","GetresourcerestparameterHandler","eu.fp7.scase.wsat.restparameter.GetresourcerestparameterHandler","L2284","L103","C:\Users\michalis\Desktop\thesisResults\WSAT_java\GetresourcerestparameterHandler.java",34,1,112,2,0.86059,5,12,5,0.708861,0.716981,56,38,1,2,2,8,4,1,1,8,12,0.6,0.184615,12,3,3,2,0.184615,12,0,0,0,0,0,53,79,5,1,5,1,4,0,4,0,4,29,0,4,0,53,79,5,1,5,1,4,0,4,0,4,29,0,4,0,0,0,33,0,0,0,0,0,24,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"L2381","GetresourcerestparameterListHandler","eu.fp7.scase.wsat.restparameter.GetresourcerestparameterListHandler","L2284","L103","C:\Users\michalis\Desktop\thesisResults\WSAT_java\GetresourcerestparameterListHandler.java",36,1,126,2,0.888651,6,15,6,0.747253,0.769231,68,50,1,2,2,9,7,1,1,15,19,0.6,0.155844,12,3,3,2,0.155844,12,0,0,0,0,0,65,91,5,1,5,1,4,0,4,0,4,40,0,4,0,65,91,5,1,5,1,4,0,4,0,4,40,0,4,0,0,0,37,0,0,0,0,0,26,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
"L2422","GetrestmethodrestparameterHandler","eu.fp7.scase.wsat.restparameter.GetrestmethodrestparameterHandler","L2284","L103","C:\Users\michalis\Desktop\thesisResults\WSAT_java\GetrestmethodrestparameterHandler.java",34,1,112,2,0.86059,5,12,5,0.708861,0.716981,56,38,1,2,2,8,4,1,1,8,12,0.6,0.184615,12,3,3,2,0.184615,12,0,0,0,0,0,53,79,5,1,5,1,4,0,4,0,4,29,0,4,0,53,79,5,1,5,1,4,0,4,0,4,29,0,4,0,0,0,33,0,0,0,0,0,24,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"L2446","GetrestmethodrestparameterListHandler","eu.fp7.scase.wsat.restparameter.GetrestmethodrestparameterListHandler","L2284","L103","C:\Users\michalis\Desktop\thesisResults\WSAT_java\GetrestmethodrestparameterListHandler.java",36,1,126,2,0.888651,6,15,6,0.747253,0.769231,68,50,1,2,2,9,7,1,1,15,19,0.6,0.155844,12,3,3,2,0.155844,12,0,0,0,0,0,65,91,5,1,5,1,4,0,4,0,4,40,0,4,0,65,91,5,1,5,1,4,0,4,0,4,40,0,4,0,0,0,37,0,0,0,0,0,26,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
"L2482","JavarestparameterController","eu.fp7.scase.wsat.restparameter.JavarestparameterController","L2284","L103","C:\Users\michalis\Desktop\thesisResults\WSAT_java\JavarestparameterController.java",39,1,106,2,0,0,0,0,0,0,0,0,1,0,0,6,7,1,0,12,18,1,0.222222,14,14,7,0,0.222222,14,0,0,0,0,0,49,68,1,0,1,0,6,0,6,0,6,12,0,6,0,49,68,1,0,1,0,6,0,6,0,6,12,0,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
"L2545","JavarestparameterControllerManager","eu.fp7.scase.wsat.restparameter.JavarestparameterControllerManager","L2284","L103","C:\Users\michalis\Desktop\thesisResults\WSAT_java\JavarestparameterControllerManager.java",37,1,85,2,0,0,0,0,0,0,0,0,1,0,0,4,6,1,0,8,12,1,0.204545,9,9,5,0,0.204545,9,0,0,0,0,0,35,49,1,0,1,0,4,0,4,0,4,8,0,4,0,35,49,1,0,1,0,4,0,4,0,4,8,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"L2170","JavarestparameterModel","eu.fp7.scase.wsat.restparameter.JavarestparameterModel","L2284","L103","C:\Users\michalis\Desktop\thesisResults\WSAT_java\JavarestparameterModel.java",64,1,230,2,0,0,0,0,0,0,0,0,12,0,0,25,3,17,24,0,25,0.115385,0.078125,10,10,3,23,0.078125,10,0,0,0,0,0,118,167,12,0,12,0,25,0,25,0,25,26,0,25,0,118,167,12,0,12,0,25,0,25,0,25,26,0,25,0,0,0,55,0,0,0,0,0,0,0,1,0,0,0,0,49,0,0,0,0,0,0,0,5,0,0,0,0,0
"L2398","JavarestparameterModelManager","eu.fp7.scase.wsat.restparameter.JavarestparameterModelManager","L2284","L103","C:\Users\michalis\Desktop\thesisResults\WSAT_java\JavarestparameterModelManager.java",33,1,48,2,0,0,0,0,0,0,0,0,1,0,0,2,1,3,2,0,2,0.333333,0.166667,2,2,1,2,0.166667,2,0,0,0,0,0,10,16,1,0,1,0,2,0,2,0,2,2,0,2,0,10,16,1,0,1,0,2,0,2,0,2,2,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
